Bidding Date,Project Title,Fund Source,Participating Bidders,Winning Bidder,Winning Bid Amount,Contract or Purchase Order (Reference No. and Date),,,,,,,
12/11/2024,"Vacuum Circuit Recloser 630Amps. 12.5KA, 15KV 3 Phase outdoor type, 60 Hz",General Fund,CDO Electrocare Corporation/Centrade Integrated Sales Corp/AsiaPhil Incorporated,Centrade Integrated Sales Corp," 1,300,000.00 ","P.O 006143 December 17, 2024 RIV-028869",,,,,,,
12/17/2024,APEX Laboratory Package,General Fund,"Choice Lab Medical and Diagnostic Clinic/Adventist Medical Center and Don Carlos Health Check Diagnostics, Inc.","Don Carlos Health Check Diagnostics, Inc."," 717,000.00 ","P.O 006146 December 19, 2024 RIV-028828",,,,,,,
12/23/2024,Collection Receipt (Power Bill Receipt),General Fund,22 Karats Printing and Publishing House/Solid Printing Press/GPH Printer,22 Karats Printing and Publishing House," 960,000.00 ","P.O 006154 December 23, 2024 RIV-028877",,,,,,,
1/3/2025," Transformer, Pole Type, Amorphous, 37.5 KVA, 15 KVA, 25 KVA, 50 KVA, 7620/240V. (unit) ",General Fund, Central Integrated Sales Corp./RCCC Trading & Electrical Supply/DYNASTY ELECTRICAL & INDUSTRIAL SUPPLIES TRADING , RCCC Trading & Electrical Supply ," 1,637,240.00 ", RIV-029020 ,,,,,,,
1/6/2025, Pole Lines Hardwares ,General Fund," Kupler Industries, Inc./PARALLEL GROOVE INDUSTRIAL CORP./TRADEWELL CONSTRUCTION & ELECTRICAL SUPPLY "," kupler Industries, Inc., PARALLEL GROOVE INDUSTRIAL CORP., TRADEWELL CONSTRUCTION & ELECTRICAL SUPPLY "," 67,800.00, 20,480.00, 127,440.00 ", RIV-028439 ,,,,,,,
1/6/2025," Loading, Transporting & Unloading of rented 10/12.5 MVA Power transformer of BUSECO from Palma Substation @ Palma, Kibawe Bukidnon to Poblacion, Libona Bukidnon (lot) ", General Fund , Maramag Hardware and General Merchandise/4A INDUSTRIAL SERVICES & SUPPLY/CDO ELECTROCARE CORPORATION , CDO ELECTROCARE CORPORATION ," 705,600.00 ", RIV-028265 ,,,,,,,
1/22/2025," Thermal Paper POS 80 x 45 mm 1 ply (with FIBECO logo, Website and Contact Number) ", General Fund , CN OFFICE SUPPLIES/DOMINUS I.T. COMPUTER TRADING/PAPERMAXX SCHOOL AND OFFICE SUPPLIES TRADING , DOMINUS I.T. COMPUTER TRADING ," 1,570,725.00 ", RIV-029165 ,,,,,,,
2/5/2025," EDMI, Ethernet Modern, model: EDMW107SR ", General Fund , EDMI Philippines Inc./DNDG ELECTRICAL CORPORATION/DOMINUS I.T. COMPUTER TRADING , EDMI Philippines Inc. ," 375,000.00 ", RIV-028720 ,,,,,,,
2/5/2025, Collection Receipt (Power Bill Receipt) , General Fund , GPH PRINTER/New Solid Printing Services/22 Karats Printing and Publishing House , 22 Karats Printing and Publishing House ," 1,071,000.00 ", RIV-029346 ,,,,,,,
2/14/2025," Conductor, Duplex #6 AWG (Meter) ", General Fund ," Kupler Industries, Inc./SANGREE INDUSTRIAL SALES, INC./ PELICAN INDUSTRIAL SALES CORPORATION "," SANGREE INDUSTRIAL SALES, INC. "," 222,500.00 ", RIV-029478 ,,,,,,,
2/14/2025, Ink and Toner , General Fund , TECHNOMART COMPUTER & CONSUMER ELECTRONICS/Upgrade Computer Shoppe/Octagon Computer Superstore , Upgrade Computer Shoppe ," 396,020.00 ", RIV-029213 ,,,,,,,
2/26/2025," Transformer, Pole Type, Amorphous, 15 KVA, 37.5 KVA, 25 KVA, 50 KVA, 7620/240 V. ", General Fund ," PELICAN INDUSTRIAL SALES CORPORATION/SANGREE INDUSTRIAL SALES, INC./TRADEWELL CONSTRUCTION & ELECTRICAL SUPPLY/RCC Trading & Electrical supply ", RCCC Trading & Electrical Supply ," 1,771,250.00 ", RIV-029705 ,,,,,,,
2/26/2025, Cont. Form , General Fund , Upgrade Computer Shoppe/Valencia Copy Center/MOSTACO MARKETING , Upgrade Computer Shoppe ," 439,650.00 ", RIV-029274 ,,,,,,,
3/5/2025, HOODY SWEAT SHIRT W/ LOGO AND REFLECTOR , General Fund , MARCYS CORPORATION/ BIBWAK OUTDOOR SHOP/ EA DIGITAL PRINTING SERVICES , MARCYS CORPORATION ," 793,260.00 ", RIV-029676 ,,,,,,,
3/12/2025," Anchor, Expanding, 10,000 Pounds, 8 Way, Galvanized Steel ", General Fund ," Kupler Industries, Inc./Digos RJS ELECTRICAL & GENERAL MERCHANDISE/PELICAN INDUSTRIAL SALES CORPORATION/Centrade Integrated Sales Corp. "," Kupler Industries, Inc.,Digos RJS ELECTRICAL & GENERAL MERCHANDISE "," 77,600.00, 698,872.00 ", RIV-029876 ,,,,,,,
3/12/2025," Link, Fuse, Universal, Bottom Head, Type K ", General Fund ," Kupler Industries, Inc./Centrade Integrated Sales Corp./PELICAN INDUSTRIAL SALES CORPORATION ", Centrade Integrated Sales Corp. ," 292,600.00 ", RIV-029893 ,,,,,,,
